instances\test_1.txt,42,True
instances\test_10.txt,19,True
instances\test_11.txt,37,True
instances\test_12.txt,38,True
instances\test_13.txt,37,True
instances\test_14.txt,24,True
instances\test_15.txt,51,True
instances\test_16.txt,53,True
instances\test_17.txt,39,True
instances\test_18.txt,32,True
instances\test_19.txt,47,True
instances\test_2.txt,18,True
instances\test_20.txt,30,True
instances\test_21.txt,46,True
instances\test_22.txt,51,True
instances\test_23.txt,32,True
instances\test_24.txt,47,True
instances\test_25.txt,40,higher
instances\test_26.txt,42,True
instances\test_27.txt,39,higher
instances\test_28.txt,41,True
instances\test_29.txt,50,True
instances\test_3.txt,28,True
instances\test_30.txt,48,True
instances\test_31.txt,39,True
instances\test_32.txt,30,True
instances\test_33.txt,27,True
instances\test_34.txt,33,True
instances\test_35.txt,30,True
instances\test_36.txt,23,True
instances\test_37.txt,37,True
instances\test_38.txt,28,True
instances\test_39.txt,39,True
instances\test_4.txt,32,True
instances\test_40.txt,24,True
instances\test_41.txt,44,True
instances\test_42.txt,61,True
instances\test_43.txt,43,True
instances\test_44.txt,34,True
instances\test_45.txt,24,True
instances\test_46.txt,56,True
instances\test_47.txt,77,True
instances\test_48.txt,38,True
instances\test_49.txt,44,True
instances\test_5.txt,25,True
instances\test_50.txt,49,True
instances\test_6.txt,24,True
instances\test_7.txt,34,True
instances\test_8.txt,37,True
instances\test_9.txt,24,True
instances\test_function_updated.txt,24,False
instances\test_1.txt,True,42
instances\test_10.txt,True,19
instances\test_11.txt,True,37
instances\test_12.txt,True,38
instances\test_13.txt,True,37
instances\test_14.txt,True,24
instances\test_15.txt,True,51
instances\test_16.txt,True,51
instances\test_17.txt,True,39
instances\test_18.txt,True,32
instances\test_19.txt,True,47
instances\test_2.txt,True,18
instances\test_20.txt,higher,28
instances\test_21.txt,True,46
instances\test_22.txt,True,51
instances\test_23.txt,True,32
instances\test_24.txt,True,47
instances\test_25.txt,higher,40
instances\test_26.txt,True,42
instances\test_27.txt,higher,39
instances\test_28.txt,True,41
instances\test_29.txt,True,50
instances\test_3.txt,True,28
instances\test_30.txt,higher,42
instances\test_31.txt,True,39
instances\test_32.txt,True,30
instances\test_33.txt,True,27
instances\test_34.txt,True,33
instances\test_35.txt,True,30
instances\test_36.txt,True,23
instances\test_37.txt,True,37
instances\test_38.txt,True,28
instances\test_39.txt,higher,35
instances\test_4.txt,True,32
instances\test_40.txt,True,24
instances\test_41.txt,True,44
instances\test_42.txt,higher,57
instances\test_43.txt,True,43
instances\test_44.txt,higher,32
instances\test_45.txt,True,24
instances\test_46.txt,True,56
instances\test_47.txt,False,67
instances\test_48.txt,True,38
instances\test_49.txt,higher,40
instances\test_5.txt,True,25
instances\test_50.txt,True,49
instances\test_6.txt,True,24
instances\test_7.txt,True,34
instances\test_8.txt,True,37
instances\test_9.txt,True,24
instances/test_10.txt,True,19
